,round,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,home_code,target_home,target_away,target_draw
368,0,2.0,0.0,2.2,0.5,75.0,15,13.0,1.0,18.7,1.0,1.0,1.0,0,18,16,6,12,1,0,0
369,11,4.0,0.0,1.7,0.1,67.0,12,19.0,7.0,17.5,0.0,0.0,0.0,1,2,15,5,12,1,0,0
370,22,3.0,3.0,2.1,1.8,69.0,15,21.0,10.0,16.2,1.0,0.0,0.0,0,14,16,6,12,0,0,1
371,32,4.0,2.0,2.2,0.1,74.0,12,18.0,5.0,14.1,0.0,0.0,0.0,1,6,15,5,12,1,0,0
372,33,6.0,0.0,3.3,0.7,74.0,12,17.0,9.0,14.8,0.0,0.0,0.0,1,15,19,2,12,1,0,0
373,34,1.0,1.0,2.1,0.3,71.0,15,13.0,4.0,16.8,1.0,0.0,0.0,0,1,17,5,12,0,0,1
374,36,3.0,0.0,1.1,0.4,59.0,15,16.0,7.0,19.4,0.0,0.0,0.0,0,19,12,5,12,1,0,0
375,37,6.0,3.0,3.2,1.7,53.0,15,22.0,9.0,14.2,1.0,0.0,0.0,1,13,14,6,12,1,0,0
376,1,4.0,0.0,2.4,0.2,65.0,12,21.0,8.0,13.9,0.0,0.0,0.0,1,16,15,5,12,1,0,0
377,2,0.0,1.0,1.0,2.1,63.0,4,16.0,6.0,18.4,0.0,0.0,0.0,0,11,16,6,12,0,1,0
378,4,3.0,1.0,1.6,0.5,48.0,15,9.0,3.0,15.0,0.0,1.0,1.0,1,4,15,5,12,1,0,0
379,5,1.0,0.0,1.0,0.7,64.0,15,15.0,5.0,20.8,1.0,0.0,0.0,0,10,12,5,12,1,0,0
380,6,2.0,1.0,2.1,1.0,70.0,15,15.0,4.0,18.1,1.0,1.0,1.0,1,8,15,5,12,1,0,0
381,7,1.0,2.0,1.6,1.3,74.0,15,29.0,6.0,20.9,0.0,0.0,0.0,1,3,12,5,12,0,1,0
382,8,3.0,1.0,4.3,0.6,69.0,15,26.0,9.0,16.0,0.0,0.0,0.0,0,9,20,2,12,1,0,0
383,9,1.0,1.0,1.7,0.1,74.0,15,16.0,3.0,15.4,0.0,0.0,0.0,1,7,15,5,12,0,0,1
384,10,1.0,0.0,2.1,0.4,52.0,1,12.0,3.0,16.0,0.0,0.0,0.0,0,5,20,3,12,1,0,0
385,12,1.0,2.0,0.6,1.7,70.0,15,5.0,1.0,19.2,0.0,0.0,0.0,0,13,12,5,12,0,1,0
386,35,4.0,2.0,2.3,0.8,58.0,12,16.0,6.0,16.3,1.0,0.0,0.0,1,17,20,3,12,1,0,0
387,13,3.0,0.0,2.8,0.8,55.0,1,12.0,5.0,14.8,0.0,1.0,1.0,1,19,14,6,12,1,0,0
