,round,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,home_code,target_home,target_away,target_draw
1019,20,1.0,0.0,0.9,1.1,47.0,15,12.0,4.0,16.2,0.0,0.0,0.0,0,19,20,0,11,1,0,0
1020,23,3.0,0.0,2.4,0.1,64.0,15,16.0,7.0,18.2,0.0,0.0,0.0,0,0,20,5,11,1,0,0
1021,24,2.0,1.0,2.3,0.5,65.0,15,23.0,10.0,16.7,1.0,0.0,0.0,1,1,15,5,11,1,0,0
1022,25,1.0,1.0,1.4,2.3,39.0,15,17.0,7.0,17.1,0.0,0.0,0.0,0,9,20,0,11,0,0,1
1023,26,1.0,1.0,2.4,1.0,68.0,17,22.0,9.0,17.6,1.0,0.0,0.0,1,14,12,5,11,0,0,1
1024,28,2.0,0.0,1.7,1.1,54.0,15,14.0,6.0,13.6,0.0,0.0,0.0,1,16,20,5,11,1,0,0
1025,27,4.0,2.0,2.7,1.9,47.0,15,17.0,8.0,14.9,0.0,0.0,0.0,0,13,20,3,11,1,0,0
1026,31,2.0,0.0,1.6,0.6,69.0,15,19.0,5.0,14.7,1.0,0.0,0.0,1,6,16,6,11,1,0,0
1027,32,5.0,0.0,2.4,0.7,66.0,0,13.0,10.0,14.0,0.0,0.0,0.0,1,11,12,5,12,1,0,0
1028,34,5.0,0.0,4.5,0.6,71.0,15,25.0,9.0,13.5,0.0,0.0,0.0,1,6,15,5,12,1,0,0
1029,35,1.0,0.0,0.9,0.5,61.0,15,17.0,5.0,18.0,1.0,0.0,0.0,0,5,17,5,12,1,0,0
1030,2,3.0,1.0,1.8,0.3,57.0,15,8.0,4.0,16.5,0.0,1.0,1.0,1,0,14,6,12,1,0,0
1031,3,2.0,0.0,1.9,0.2,73.0,15,12.0,4.0,17.7,0.0,0.0,0.0,0,10,15,5,12,1,0,0
1032,5,2.0,1.0,1.4,1.3,74.0,15,26.0,12.0,21.6,0.0,0.0,0.0,1,16,20,2,12,1,0,0
1033,6,2.0,1.0,2.3,0.6,76.0,15,24.0,8.0,19.6,1.0,0.0,0.0,1,18,16,6,12,1,0,0
1034,7,2.0,1.0,1.7,1.4,64.0,15,14.0,7.0,17.9,0.0,0.0,0.0,0,13,16,6,12,1,0,0
1035,9,4.0,1.0,3.4,0.2,52.0,15,19.0,11.0,15.3,0.0,0.0,1.0,1,17,17,5,12,1,0,0
1036,10,4.0,0.0,1.5,0.4,78.0,15,14.0,5.0,20.2,0.0,0.0,0.0,1,2,15,5,12,1,0,0
1037,12,1.0,0.0,1.8,0.2,77.0,15,21.0,6.0,17.3,0.0,0.0,0.0,0,14,19,2,12,1,0,0
1038,13,0.0,0.0,1.3,1.3,74.0,15,15.0,4.0,21.2,4.0,0.0,0.0,0,6,12,6,12,0,0,1
1039,15,3.0,4.0,0.8,0.8,64.0,15,11.0,4.0,19.0,0.0,0.0,0.0,0,11,16,6,12,0,1,0
1040,16,3.0,1.0,2.1,1.0,80.0,15,20.0,8.0,18.2,1.0,1.0,1.0,1,14,17,5,12,1,0,0
1041,19,5.0,1.0,2.5,0.1,70.0,15,19.0,10.0,16.1,0.0,0.0,0.0,1,10,17,5,12,1,0,0
