,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_home
124,0,0,2.0,1.0,1.5,1.4,38.0,2,15.0,4.0,17.4,0.0,0.0,0.0,0,13,14,6,2.6666666666666665,0.6666666666666666,16.666666666666668,6.0,15.533333333333331,0.0,0.0,0.0,4,0,1
125,11,1,0.0,0.0,1.5,0.2,54.0,3,13.0,5.0,17.3,0.0,0.0,0.0,1,14,15,5,2.0,1.0,16.0,5.666666666666667,16.03333333333333,0.0,0.0,0.0,4,0,0
126,22,0,2.0,0.0,1.7,0.8,50.0,6,10.0,1.0,18.8,0.0,1.0,1.0,0,18,14,6,1.6666666666666667,0.6666666666666666,15.333333333333334,5.333333333333333,17.03333333333333,0.0,0.0,0.0,4,0,1
127,32,1,1.0,0.0,2.0,1.8,44.0,17,13.0,4.0,13.6,0.0,0.0,0.0,1,9,15,5,1.3333333333333333,0.3333333333333333,12.666666666666666,3.333333333333333,17.833333333333332,0.0,0.3333333333333333,0.3333333333333333,4,0,1
128,33,0,1.0,2.0,1.4,0.7,61.0,7,6.0,2.0,15.3,0.0,1.0,1.0,0,8,19,1,1.0,0.0,12.0,3.333333333333333,16.566666666666666,0.0,0.3333333333333333,0.3333333333333333,4,1,0
129,34,1,5.0,2.0,2.6,1.4,53.0,7,22.0,10.0,19.6,2.0,1.0,1.0,1,10,14,6,1.3333333333333333,0.6666666666666666,9.666666666666666,2.333333333333333,15.899999999999997,0.0,0.6666666666666666,0.6666666666666666,4,0,1
130,37,0,3.0,3.0,1.4,1.5,46.0,4,6.0,6.0,10.0,0.0,0.0,0.0,0,11,15,5,2.333333333333333,1.3333333333333333,13.666666666666666,5.333333333333333,16.166666666666664,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,0,0
131,1,1,0.0,1.0,0.7,0.8,59.0,4,14.0,4.0,18.5,0.0,0.0,0.0,1,17,17,5,3.0,2.333333333333333,11.333333333333334,6.0,14.966666666666663,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,1,0
132,2,0,0.0,2.0,1.9,1.5,72.0,17,21.0,7.0,17.2,0.0,0.0,0.0,0,3,20,4,2.6666666666666665,2.0,14.0,6.666666666666667,16.03333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,4,1,0
133,3,1,0.0,0.0,1.7,0.1,70.0,4,19.0,7.0,15.7,0.0,0.0,0.0,1,15,19,1,1.0,2.0,13.666666666666666,5.666666666666667,15.233333333333327,0.0,0.0,0.0,4,0,0
134,4,0,1.0,3.0,0.5,1.6,52.0,3,8.0,2.0,19.8,0.0,0.0,0.0,0,12,15,5,0.0,1.0,18.0,6.0,17.13333333333333,0.0,0.0,0.0,4,1,0
135,5,1,4.0,1.0,2.4,1.4,41.0,12,19.0,7.0,15.9,0.0,0.0,0.0,1,5,15,5,0.3333333333333333,1.6666666666666667,16.0,5.333333333333333,17.566666666666663,0.0,0.0,0.0,4,0,1
136,6,0,3.0,2.0,1.5,1.2,71.0,12,19.0,8.0,17.2,3.0,0.0,0.0,0,19,15,5,1.6666666666666667,1.3333333333333333,15.333333333333334,5.333333333333333,17.13333333333333,0.0,0.0,0.0,4,0,1
137,7,1,1.0,2.0,0.6,1.5,65.0,12,7.0,2.0,18.2,0.0,0.0,0.0,1,1,14,6,2.6666666666666665,2.0,15.333333333333334,5.666666666666667,17.63333333333333,1.0,0.0,0.0,4,1,0
138,8,0,3.0,1.0,0.6,1.9,66.0,12,7.0,4.0,13.7,0.0,0.0,0.0,0,16,15,0,2.6666666666666665,1.6666666666666667,15.0,5.666666666666667,17.099999999999998,1.0,0.0,0.0,4,0,1
139,9,1,2.0,4.0,1.2,2.9,68.0,12,9.0,5.0,13.5,0.0,0.0,0.0,1,0,17,5,2.333333333333333,1.6666666666666667,11.0,4.666666666666667,16.366666666666664,1.0,0.0,0.0,4,1,0
