,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,season,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_draw,target_home
24,11,0,2.0,3.0,2.4,1.6,38.0,12,15.0,6.0,16.9,0.0,0.0,0.0,2018-01-01,0,5,17,5,0.6666666666666666,2.333333333333333,10.333333333333334,4.333333333333333,17.266666666666666,0.0,0.0,0.0,0,1,0,0
25,22,1,3.0,1.0,1.8,1.1,61.0,12,17.0,10.0,18.9,1.0,0.0,0.0,2018-01-01,1,18,15,5,1.0,2.6666666666666665,12.666666666666666,5.333333333333333,16.633333333333333,0.0,0.0,0.0,0,0,0,1
26,33,0,2.0,1.0,1.0,0.4,63.0,12,12.0,2.0,17.0,1.0,0.0,0.0,2018-01-01,0,14,15,5,1.6666666666666667,2.0,13.666666666666666,6.333333333333333,18.166666666666664,0.3333333333333333,0.0,0.0,0,0,0,1
27,34,1,2.0,0.0,0.8,0.8,62.0,12,9.0,5.0,18.3,0.0,0.0,0.0,2018-01-01,1,7,16,6,2.333333333333333,1.6666666666666667,14.666666666666666,6.0,17.599999999999998,0.6666666666666666,0.0,0.0,0,0,0,1
28,36,0,5.0,1.0,1.1,1.4,52.0,17,9.0,7.0,16.6,0.0,0.0,0.0,2018-01-01,0,8,12,6,2.333333333333333,0.6666666666666666,12.666666666666666,5.666666666666667,18.066666666666663,0.6666666666666666,0.0,0.0,0,0,0,1
29,37,1,3.0,1.0,2.7,0.5,68.0,12,19.0,6.0,17.7,2.0,0.0,0.0,2018-01-01,1,10,20,0,3.0,0.6666666666666666,10.0,4.666666666666667,17.3,0.3333333333333333,0.0,0.0,0,0,0,1
30,1,0,2.0,2.0,0.9,2.3,57.0,12,7.0,2.0,20.5,2.0,0.0,0.0,2018-01-01,0,6,13,6,3.333333333333333,0.6666666666666666,12.333333333333334,6.0,17.533333333333335,0.6666666666666666,0.0,0.0,0,0,1,0
31,2,1,1.0,1.0,1.4,1.3,61.0,12,12.0,4.0,15.3,0.0,0.0,0.0,2018-01-01,1,11,17,5,3.333333333333333,1.3333333333333333,11.666666666666666,5.0,18.266666666666666,1.3333333333333333,0.0,0.0,0,0,1,0
32,3,1,1.0,1.0,0.9,1.9,71.0,12,10.0,3.0,20.4,0.0,0.0,0.0,2018-01-01,1,19,16,6,2.0,1.3333333333333333,12.666666666666666,4.0,17.833333333333332,1.3333333333333333,0.0,0.0,0,0,1,0
33,4,0,2.0,1.0,1.6,0.6,58.0,4,20.0,4.0,17.8,0.0,0.0,0.0,2018-01-01,0,2,13,6,1.3333333333333333,1.3333333333333333,9.666666666666666,3.0,18.73333333333333,0.6666666666666666,0.0,0.0,0,0,0,1
34,5,1,4.0,2.0,2.7,1.2,59.0,4,21.0,5.0,17.3,0.0,1.0,1.0,2018-01-01,1,17,14,6,1.3333333333333333,1.0,14.0,3.6666666666666665,17.833333333333332,0.0,0.0,0.0,0,0,0,1
